Sector,Anaheim_SantaAna_Irvine,LA,Fresno,Oak_Hayward_Berk,Oxnard_ThousandOaks_Ventura,Riverside_SanBern_Ontario,SanJose_Sunnyvale_SantaClara,SD_Carlsbad,SF_RedwoodCity_SSF,Stockton_Lodi,NYC
Total farm,1800,4400,36600,1100,23700,13800,4700,9500,1500,11300,217
Mining and logging,400,1900,300,200,900,1200,200,400,100,100,7100
Utilities,3000,12200,2300,5500,900,4800,1600,4600,4900,1500,15300
Construction,105400,152600,18300,74500,17200,106400,51200,83600,41800,12600,147600
Manufacturing,158700,336600,26100,99300,26400,98800,174800,116500,38700,18600,100100
Wholesale trade,78300,218700,14800,45100,13300,66600,31000,43700,25800,12600,138200
Retail trade,150300,415800,38800,111100,37200,180000,83200,144300,77000,25400,337600
Transportation and warehousing,26700,205800,14300,36700,5500,142200,14900,29900,45000,31300,131200
Information,25800,241000,3400,27900,4700,11300,103700,23400,99900,1600,208100
Financial,120800,225000,14900,55100,15900,43600,38300,76900,86900,8000,477700
Professional and business,326300,647700,33500,189900,45100,155700,243100,264400,299600,20200,804400
Education and health,235100,865100,74200,199700,50400,257700,179700,222100,150200,38800,1090500
Leisure and hospitality,227500,543700,34900,117400,37900,175000,101600,197600,147900,22500,452600
Other,50800,160100,12000,41100,9600,44800,29900,55300,41300,7800,200300
Government,168700,606200,76600,176900,48700,261000,98600,251800,132300,46000,591300
,,,,,,,,,,,
total pop,,10079000,1010120,,851297,,,,,772948,
,,225000,14900,,15900,,,,,,
% of pop financial,,2.232364322,1.475072269,,1.867738286,,,,,1.034998473,
,,,,,,,,,,,
% pop information,,241000,3400,,4700,,,,,0.2069996947,
,,2.391110229,0.336593672,,0.5520987387,,,,,,
,,,,,,,,,,,
% pop professional,,647700,33500,,45100,,,,,0.02613371145,
,,6.426232761,3.316437651,,5.297798536,,,,,,
,,,,,,,,,,,
farm,,0.04365512452,3.623331881,,2.783987257,,,,,1.461935344,
,,,,,,,,,,,
workforce,,4636800,401000,,337400,,,,,258300,
% financial,,4.852484472,3.715710723,,4.71250741,,,,,3.097173829,
,,,,,,,,,,,
% information,,5.197550035,0.8478802993,,1.393005335,,,,,0.6194347658,
,,,,,,,,,,,
% professional,,13.9686853,8.354114713,,13.36692353,,,,,7.820363918,
,,,,,,,,,,,
,,,,,,,,,,,
farm,,0.09489302968,9.127182045,,7.024303497,,,,,4.374758033,