#Industry Title	Feb	Mar	Apr	May	Jun	Jul	Aug
Total Farm	23700	24700	22200	23400	22700	21700	20600
Mining and Logging	900	900	900	900	900	900	900
Utilities	900	1000	900	900	1000	900	900
Construction	17200	17000	15700	16800	16900	17000	17300
Manufacturing	26400	26300	24600	25000	25000	25000	24900
Wholesale Trade	13300	13500	11200	11200	11800	11800	12100
Retail Trade	37200	37200	31800	30500	31800	32400	32700
Transportation and Warehousing	5500	5400	5000	5000	5000	5100	5200
Information	4700	4600	3900	3900	4000	4000	3900
Financial Activities	15900	15800	15800	15900	15800	15800	16000
Professional and Business Services	45100	45300	42500	41700	42300	43300	44100
Educational and Health Services	50400	48400	44600	46000	46500	47300	46600
Leisure and Hospitality	37900	37600	22400	23600	30000	31700	31400
Other Services	9600	9400	7100	7200	7700	7700	7700
Government	48700	48700	47100	42100	42400	38500	41400